<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
DAIO,D,20120102,3.74,3.74,3.74,3.74,0
DAKT,D,20120102,9.57,9.57,9.57,9.57,0
DAVE,D,20120102,10.3,10.3,10.3,10.3,0
DCIX,D,20120102,43.44,43.44,43.44,43.44,0
DCOM,D,20120102,12.6,12.6,12.6,12.6,0
DCTH,D,20120102,48.8,48.8,48.8,48.8,0
DENN,D,20120102,3.76,3.76,3.76,3.76,0
DEPO,D,20120102,5.18,5.18,5.18,5.18,0
DEST,D,20120102,16.72,16.72,16.72,16.72,0
DFVS,D,20120102,42.36,42.36,42.36,42.36,0
DGAS,D,20120102,17.175,17.175,17.175,17.175,0
DGICA,D,20120102,14.16,14.16,14.16,14.16,0
DGICB,D,20120102,16.43,16.43,16.43,16.43,0
DGII,D,20120102,11.15,11.15,11.15,11.15,0
DGLY,D,20120102,0.6,0.6,0.6,0.6,0
DHIL,D,20120102,73.98,73.98,73.98,73.98,0
DIOD,D,20120102,21.3,21.3,21.3,21.3,0
DISCA,D,20120102,40.97,40.97,40.97,40.97,0
DISCB,D,20120102,41.25,41.25,41.25,41.25,0
DISCK,D,20120102,18.85,18.85,18.85,18.85,0
DISH,D,20120102,28.48,28.48,28.48,28.48,0
DJCO,D,20120102,65.15,65.15,65.15,65.15,0
DLBS,D,20120102,31.97,31.97,31.97,31.97,0
DLTR,D,20120102,41.555,41.555,41.555,41.555,0
DMLP,D,20120102,22.66,22.66,22.66,22.66,0
DMRC,D,20120102,23.89,23.89,23.89,23.89,0
DNBF,D,20120102,10.68,10.68,10.68,10.68,0
DNKN,D,20120102,24.98,24.98,24.98,24.98,0
DORM,D,20120102,18.465,18.465,18.465,18.465,0
DRAD,D,20120102,1.96,1.96,1.96,1.96,0
DRRX,D,20120102,1.18,1.18,1.18,1.18,0
DRWI,D,20120102,86.25,86.25,86.25,86.25,0
DRYS,D,20120102,3360000,3360000,3360000,3360000,0
DSGX,D,20120102,7.16,7.16,7.16,7.16,0
DSPG,D,20120102,5.21,5.21,5.21,5.21,0
DSWL,D,20120102,2.15,2.15,2.15,2.15,0
DTUS,D,20120102,41.51,41.51,41.51,41.51,0
DTYS,D,20120102,32.26,32.26,32.26,32.26,0
DUSA,D,20120102,4.38,4.38,4.38,4.38,0
DVAX,D,20120102,33.2,33.2,33.2,33.2,0
DWCH,D,20120102,5.6,5.6,5.6,5.6,0
DWSN,D,20120102,39.53,39.53,39.53,39.53,0
DXCM,D,20120102,9.31,9.31,9.31,9.31,0
DXPE,D,20120102,32.2,32.2,32.2,32.2,0
DXYN,D,20120102,2.94,2.94,2.94,2.94,0
DYNT,D,20120102,3.4,3.4,3.4,3.4,0
DYSL,D,20120102,1.82,1.82,1.82,1.82,0
EA,D,20120102,20.6,20.6,20.6,20.6,0
EAGLU,D,20120102,10.09,10.09,10.09,10.09,0
EBAY,D,20120102,12.7705,12.7705,12.7705,12.7705,0
EBIX,D,20120102,22.1,22.1,22.1,22.1,0
EBMT,D,20120102,9.85,9.85,9.85,9.85,0
EBSB,D,20120102,5.0858,5.0858,5.0858,5.0858,0
EBTC,D,20120102,14.3,14.3,14.3,14.3,0
ECHO,D,20120102,16.15,16.15,16.15,16.15,0
ECOL,D,20120102,18.78,18.78,18.78,18.78,0
